player_id,player_name,team,opponent,position,depth_chart_position,status,season,season_type,week,target_slate,game_id,game_date,home_away,projected_fg_made,projected_fg_attempts,fg_make_rate,fg_make_rate_weather_adjusted,fg_weather_stadium,fg_weather_stadium_type,fg_weather_roof,fg_weather_temperature_f,fg_weather_humidity_pct,fg_weather_pressure_hpa,fg_weather_elevation_ft,fg_weather_wind_mph,fg_weather_gust_mph,fg_weather_wind_direction_deg,fg_weather_field_bearing_deg,fg_weather_crosswind_mph,fg_weather_headwind_mph,fg_weather_gust_crosswind_mph,fg_weather_gust_headwind_mph,fg_weather_precip_pct,fg_weather_precip_in,fg_weather_rating,fg_weather_multiplier,fg_weather_short_multiplier,fg_weather_mid_multiplier,fg_weather_long_multiplier,fg_weather_extreme_multiplier,fg_weather_risk,fg_weather_source,fg_weather_confidence_pct,fg_weather_uncertainty_score,fg_weather_condition,fg_weather_window,fg_1_19_make_pct_5y,fg_1_19_attempts_5y,fg_1_19_makes_5y,fg_20_29_make_pct_5y,fg_20_29_attempts_5y,fg_20_29_makes_5y,fg_30_39_make_pct_5y,fg_30_39_attempts_5y,fg_30_39_makes_5y,fg_40_49_make_pct_5y,fg_40_49_attempts_5y,fg_40_49_makes_5y,fg_50_59_make_pct_5y,fg_50_59_attempts_5y,fg_50_59_makes_5y,fg_60_plus_make_pct_5y,fg_60_plus_attempts_5y,fg_60_plus_makes_5y,fg_distance_identity_source,fg_1_19_source,fg_20_29_source,fg_30_39_source,fg_40_49_source,fg_50_59_source,fg_60_plus_source,recent_fg_made_pg,recent_fg_attempts_pg,kicker_role_stability,historical_kicking_games,preseason_usage_multiplier,projection_mean,projection_median,projection_floor,projection_ceiling,model_std,data_source,simulations,model_version,prob_1_plus,prob_2_plus,prob_3_plus,prob_4_plus,prob_5_plus
00-0032726,Ka'imi Fairbairn,HOU,IND,K,K,ACT,2026,REG,3,2026 REG W3,401872951,2026-09-27T17:00Z,away,2.714,3.12,87.81,87.81,Lucas Oil Stadium,INDOOR,INDOOR,71.3,43.3,993.2,715.0,3.6,5.3,44.0,,,,,,1.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,NWS + Open-Meteo,96.1,6.0,Partly Sunny,Kickoff through +3h,,0,0,95.24,42,40,95.92,49,47,87.5,40,35,78.0,50,39,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.787,2.997,68.2,49,1.04,2.714,3.0,1.0,5.0,1.612,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,93.25,75.72,51.42,29.26,14.32
00-0031492,Jason Myers,SEA,WAS,K,K,ACT,2026,REG,3,2026 REG W3,401872955,2026-09-27T17:00Z,away,2.684,3.07,87.27,88.15,Northwest Stadium,OUTDOOR,OUTDOOR,70.5,54.7,1009.8,56.0,12.4,14.2,329.0,,,,,,14.1,0.0,94.8,1.01,1.0038,1.0067,1.0115,1.0173,FAVORABLE,NWS + Open-Meteo,93.1,10.6,Slight Chance Rain Showers,Kickoff through +3h,,0,0,96.88,32,31,92.06,63,58,82.0,50,41,78.05,41,32,0.0,3,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.697,2.94,68.8,54,1.04,2.684,3.0,1.0,5.0,1.606,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,93.17,74.85,50.78,28.79,13.73
00-0039576,Spencer Shrader,IND,HOU,K,K,ACT,2026,REG,3,2026 REG W3,401872951,2026-09-27T17:00Z,home,2.573,2.87,89.96,89.96,Lucas Oil Stadium,INDOOR,INDOOR,71.3,43.3,993.2,715.0,3.6,5.3,44.0,,,,,,1.0,0.0,100.0,1.0,1.0,1.0,1.0,1.0,INDOOR / CONTROLLED,NWS + Open-Meteo,96.1,6.0,Partly Sunny,Kickoff through +3h,,0,0,100.0,7,7,100.0,6,6,100.0,4,4,50.0,2,1,,0,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,NO_SAMPLE,2.675,2.806,76.2,8,1.04,2.573,2.0,1.0,5.0,1.578,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,92.37,72.89,47.75,26.22,12.05
00-0033303,Harrison Butker,KC,MIA,K,K,ACT,2026,REG,3,2026 REG W3,401872952,2026-09-27T17:00Z,away,2.567,2.99,85.76,86.8,Hard Rock Stadium,OUTDOOR,OUTDOOR,85.0,57.9,1012.9,7.0,7.1,7.4,103.0,,,,,,25.4,0.008,95.8,1.0121,1.0046,1.0081,1.0139,1.0209,FAVORABLE,NWS + Open-Meteo,88.5,17.8,Slight Chance Showers And Thunderstorms / Chance Showers And Thunderstorms,Kickoff through +3h,100.0,2,2,97.83,46,45,94.23,52,49,86.84,38,33,66.67,36,24,66.67,3,2,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.41,2.787,72.5,50,1.04,2.567,2.0,1.0,5.0,1.572,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,92.3,72.88,47.65,25.96,12.02
00-0037692,Brandon Aubrey,DAL,BAL,K,K,ACT,2026,REG,3,2026 REG W3,401872960,2026-09-27T20:25Z,home,2.374,2.75,85.76,86.76,Maracanã Stadium,OUTDOOR,OUTDOOR,71.7,95.0,1016.8,39.0,5.0,16.5,138.0,,,,,,5.5,0.0,95.6,1.0117,1.0045,1.0079,1.0135,1.0203,FAVORABLE,Open-Meteo,100.0,0.0,,Kickoff through +3h,,0,0,100.0,23,23,87.1,31,27,93.33,30,28,82.86,35,29,66.67,9,6,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.167,2.617,68.5,52,1.04,2.374,2.0,1.0,4.0,1.526,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,90.58,68.61,42.52,21.95,9.43
00-0038567,Chad Ryland,ARI,SF,K,K,ACT,2026,REG,3,2026 REG W3,401872958,2026-09-27T20:05Z,away,2.291,2.83,80.48,81.49,Levi's Stadium,OUTDOOR,OUTDOOR,72.2,40.2,1010.5,75.0,7.6,9.9,319.0,330.0,1.5,7.5,1.9,9.7,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,NWS + Open-Meteo,92.6,11.3,Mostly Sunny,Kickoff through +3h,,0,0,100.0,15,15,88.46,26,23,61.29,31,19,70.59,17,12,0.0,1,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.11,2.767,71.0,41,1.04,2.291,2.0,0.0,4.0,1.501,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,89.85,66.66,40.31,20.19,8.43
00-0034173,Eddy Pineiro,SF,ARI,K,K,ACT,2026,REG,3,2026 REG W3,401872958,2026-09-27T20:05Z,home,2.282,2.55,88.91,90.02,Levi's Stadium,OUTDOOR,OUTDOOR,72.2,40.2,1010.5,75.0,7.6,9.9,319.0,330.0,1.5,7.5,1.9,9.7,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,NWS + Open-Meteo,92.6,11.3,Mostly Sunny,Kickoff through +3h,,0,0,100.0,22,22,95.35,43,41,88.89,45,40,84.21,19,16,0.0,1,0,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.22,2.387,77.9,43,1.04,2.282,2.0,0.0,4.0,1.502,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,89.68,66.47,40.1,19.83,8.35
00-0035358,Chase McLaughlin,TB,MIN,K,K,ACT,2026,REG,3,2026 REG W3,401872959,2026-09-27T20:05Z,home,2.153,2.45,87.08,88.17,Raymond James Stadium,OUTDOOR,OUTDOOR,85.1,42.7,1011.9,3.0,6.8,4.8,249.0,,,,,,3.1,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,NWS + Open-Meteo,95.2,7.4,Mostly Sunny / Partly Cloudy,Kickoff through +3h,,0,0,100.0,36,36,92.68,41,38,69.23,39,27,83.33,48,40,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.167,2.38,77.3,50,1.04,2.153,2.0,0.0,4.0,1.46,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,88.39,63.28,36.58,17.37,6.78
00-0040899,Trey Smack,GB,ATL,K,K,ACT,2026,REG,3,2026 REG W3,401872948,2026-09-25T00:15Z,home,2.144,2.44,87.2,88.29,Lambeau Field,OUTDOOR,OUTDOOR,58.1,82.1,1004.5,591.0,2.2,5.6,124.0,5.0,1.9,1.1,4.9,2.7,0.0,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,NWS + Open-Meteo,94.2,8.9,Mostly Cloudy,Kickoff through +3h,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,LEAGUE_FALLBACK,NO_SAMPLE,NO_SAMPLE,NO_SAMPLE,NO_SAMPLE,NO_SAMPLE,NO_SAMPLE,2.325,2.325,55.0,2,1.04,2.144,2.0,0.0,4.0,1.454,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,88.18,63.24,36.38,17.18,6.69
00-0039404,Will Reichard,MIN,TB,K,K,ACT,2026,REG,3,2026 REG W3,401872959,2026-09-27T20:05Z,away,2.137,2.29,92.08,93.23,Raymond James Stadium,OUTDOOR,OUTDOOR,85.1,42.7,1011.9,3.0,6.8,4.8,249.0,,,,,,3.1,0.0,96.0,1.0125,1.0048,1.0084,1.0144,1.0216,FAVORABLE,NWS + Open-Meteo,95.2,7.4,Mostly Sunny / Partly Cloudy,Kickoff through +3h,,0,0,100.0,11,11,94.12,17,16,85.71,14,12,78.26,23,18,100.0,1,1,PLAYER_ID,NO_SAMPLE,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,PLAYER_ID,2.113,2.213,77.1,31,1.04,2.137,2.0,0.0,4.0,1.454,ADVANCED_FG_MADE,100000,NFL_FG_MADE_V1,88.17,63.09,36.08,16.85,6.69
